,location,year,km,fuel,gears,owners,kmpl,engine_size,power,seats,price
1717,6,2015,169000,1,0,1,14.95,2489.0,93.7,7.0,500000.0
1718,6,2013,67263,0,0,1,18.9,998.0,67.1,5.0,360000.0
1719,8,2012,44223,0,0,1,17.6,1496.0,88.7,5.0,399000.0
1720,4,2015,36840,0,0,1,18.9,1197.0,82.0,5.0,564000.0
1721,11,2014,160000,1,0,1,12.99,2494.0,100.0,8.0,1200000.0
1722,9,2008,133000,1,0,1,16.8,1405.0,62.0,5.0,70000.0
1724,5,2017,38000,1,1,1,10.91,3198.0,197.0,7.0,3048000.0
1725,10,2017,5500,0,0,1,21.56,1462.0,103.25,5.0,819999.9999999999
1727,11,2007,59000,0,0,3,15.26,1150.0,74.9,5.0,99000.0
1728,5,2011,78256,0,1,1,16.8,1497.0,118.0,5.0,415000.00000000006
1729,3,2016,90000,0,0,1,16.95,1498.0,97.6,5.0,620000.0
1730,9,2016,18000,0,0,1,19.1,1197.0,85.8,5.0,440000.00000000006
1732,7,2011,130000,1,0,1,20.3,1248.0,75.0,5.0,220000.00000000003
1733,4,2018,32851,0,0,1,18.6,1197.0,81.86,5.0,834000.0
1734,9,2014,32000,1,0,1,23.4,1248.0,74.0,5.0,434999.99999999994
1735,6,2014,62700,1,0,1,22.7,1498.0,89.84,5.0,680000.0
1736,7,2010,71000,1,0,1,19.3,1248.0,73.9,5.0,330000.0
1737,8,2016,19947,0,0,1,18.9,1197.0,82.0,5.0,504000.0
1738,6,2012,91000,1,1,1,11.4,2953.0,153.86,7.0,919999.9999999999
1740,8,2018,55594,1,0,1,18.49,1493.0,100.0,7.0,848000.0
1741,6,2013,58000,1,1,1,11.2,2993.0,306.0,4.0,4800000.0
1742,6,2012,110224,1,0,1,19.01,1461.0,108.45,5.0,610000.0
1743,1,2010,21002,0,0,1,22.5,998.0,67.04,5.0,275000.0
1744,11,2017,121000,1,0,1,24.52,1248.0,88.5,7.0,800000.0
1745,7,2010,73513,0,0,1,19.7,796.0,46.3,5.0,185000.0
1746,7,2015,34000,0,1,1,20.51,998.0,67.0,5.0,385000.0
1747,4,2017,28371,0,0,1,15.1,1196.0,73.0,7.0,474000.0
1748,8,2013,74755,1,0,1,19.6,1461.0,108.45,5.0,563000.0
1749,8,2011,25805,0,0,1,18.2,1061.0,64.0,5.0,262000.0
1750,8,2015,82603,0,0,1,13.06,1598.0,102.53,5.0,490000.00000000006
1751,3,2006,110000,0,0,1,13.5,1799.0,130.0,5.0,265000.0
1752,5,2012,88000,1,0,1,16.0,2179.0,140.0,7.0,599000.0
1753,3,2011,110000,1,0,2,21.0,1461.0,64.1,5.0,240000.0
1754,5,2017,15000,0,0,1,21.7,999.0,67.0,5.0,425000.0
1755,10,2013,70000,1,1,1,15.15,2967.0,240.0,5.0,4000000.0
1756,11,2008,150000,1,0,2,28.4,1248.0,74.0,5.0,270000.0
1757,6,2016,19000,0,0,1,20.63,1198.0,67.0,5.0,299000.0
1758,3,2011,37442,0,0,1,18.5,1197.0,80.0,5.0,340000.0
1759,4,2016,63111,1,1,2,18.12,1995.0,190.0,5.0,3080000.0
1760,10,2012,88000,1,0,1,20.77,1248.0,88.8,7.0,585000.0
1761,7,2014,42355,0,0,1,18.9,1197.0,82.0,5.0,400000.0
1762,4,2011,75871,0,1,1,9.43,2996.0,254.0,5.0,1412000.0
1763,10,2011,65000,1,0,1,17.9,1998.0,163.7,5.0,455000.0
1765,7,2011,79232,1,0,1,21.1,1248.0,73.9,5.0,290000.0
1766,11,2007,220000,0,1,2,11.74,1796.0,186.0,5.0,600000.0
1767,8,2016,28470,0,0,1,18.6,1197.0,81.83,5.0,695000.0
1768,9,2014,9759,0,0,1,20.3,998.0,68.05,5.0,275000.0
1769,11,2014,75216,1,0,1,22.9,1248.0,74.0,5.0,509999.99999999994
1770,3,2017,8000,0,0,1,18.6,1197.0,81.83,5.0,675000.0
1771,10,2014,59451,0,0,1,18.5,1197.0,85.8,5.0,369000.0
1772,6,2013,53996,1,0,1,22.9,1248.0,74.0,5.0,545000.0
1773,8,2018,15135,0,0,1,17.5,1199.0,88.7,5.0,928999.9999999999
1774,3,2015,53000,0,1,2,16.9,1197.0,81.86,5.0,400000.0
1775,9,2013,40000,0,0,1,18.0,1198.0,86.7,5.0,290000.0
1776,11,2013,21107,0,0,1,17.1,1591.0,121.3,5.0,525000.0
1777,10,2014,56000,0,0,1,16.8,1497.0,116.3,5.0,575000.0
1778,4,2017,19623,0,0,1,15.29,1591.0,121.3,5.0,1312000.0
1779,8,2014,70963,1,0,1,15.1,2179.0,140.0,7.0,783000.0
1781,10,2013,51450,1,0,1,12.8,2494.0,102.0,7.0,1040000.0
1782,11,2012,75000,1,0,1,22.9,1248.0,74.0,5.0,434999.99999999994
1783,4,2017,37832,0,1,1,22.5,998.0,67.0,5.0,523000.00000000006
1784,4,2016,43041,0,0,1,18.9,1197.0,81.86,5.0,601000.0
1785,6,2014,97236,1,0,1,25.8,1498.0,98.6,5.0,440000.00000000006
1786,3,2010,83000,1,1,1,16.07,1995.0,181.0,5.0,1275000.0
1787,5,2011,65000,0,0,1,15.6,1196.0,70.0,5.0,240000.0
1788,8,2018,46007,0,0,1,17.0,1198.0,73.75,5.0,571000.0
1789,8,2015,65925,1,0,2,22.7,1498.0,89.84,5.0,549000.0
1790,11,2004,73500,0,0,2,13.0,1343.0,90.0,5.0,130000.0
1791,9,2014,55000,1,0,1,16.0,2179.0,140.0,7.0,850000.0
1792,5,2012,115000,1,0,1,13.0,2982.0,168.5,7.0,1299000.0
1793,9,2017,31184,0,0,1,18.9,1197.0,81.86,5.0,500000.0
1794,11,2017,41747,1,1,1,28.4,1248.0,73.75,5.0,900000.0
1795,8,2016,38143,1,0,1,22.9,1248.0,74.0,5.0,522000.0
1796,11,2012,19030,0,0,1,16.47,1198.0,73.9,5.0,380000.0
1797,4,2019,20877,0,0,1,18.16,1197.0,78.9,5.0,727000.0
1798,10,2016,23555,0,0,1,22.0,1197.0,81.8,5.0,509999.99999999994
1799,2,2013,29000,1,1,1,14.21,2143.0,203.0,5.0,2900000.0
1800,11,2013,61000,0,0,1,18.9,998.0,67.1,5.0,290000.0
1801,8,2012,4187,0,0,1,26.0,624.0,35.0,4.0,138000.0
1802,2,2011,46000,0,0,1,13.4,1798.0,157.8,5.0,550000.0
1803,10,2016,28000,0,1,1,17.21,1197.0,103.5,5.0,725000.0
1804,4,2014,83558,1,0,1,22.32,1582.0,126.32,5.0,698000.0
1805,6,2017,40000,1,0,1,22.95,1248.0,74.0,5.0,525000.0
1806,9,2013,36000,0,0,1,21.1,814.0,55.2,5.0,195000.0
1807,2,2014,21000,1,1,1,17.11,1968.0,174.33,5.0,2450000.0
1808,8,2013,62162,1,0,1,12.99,2494.0,100.0,7.0,831000.0
1810,11,2015,58000,1,0,1,24.4,1120.0,71.0,5.0,550000.0
1811,8,2011,62332,0,1,1,11.7,2354.0,177.6,5.0,589000.0
1812,8,2016,50867,1,0,1,20.34,1498.0,103.2,5.0,795000.0
1813,10,2010,73000,0,0,1,17.0,1197.0,80.0,5.0,275000.0
1814,7,2012,98008,1,0,1,22.7,1582.0,126.24,5.0,625000.0
1816,8,2019,27339,0,0,1,18.6,1197.0,81.83,5.0,627000.0
1817,9,2017,25000,1,0,1,23.9,1582.0,126.2,5.0,865000.0
1818,9,2014,37000,0,0,1,18.9,1197.0,82.0,5.0,350000.0
1819,6,2015,56000,1,1,1,14.16,1968.0,174.3,5.0,3500000.0
1820,9,2015,27000,0,0,1,17.5,1298.0,85.8,5.0,445000.0
1821,9,2012,37000,0,0,1,18.5,1197.0,80.0,5.0,265000.0
1823,1,2014,49000,1,1,1,18.23,1582.0,126.2,5.0,890000.0
1824,10,2017,7000,1,0,1,17.1,1956.0,170.0,5.0,1745000.0
1825,4,2017,71256,1,0,1,24.3,1248.0,88.5,5.0,958000.0
1826,8,2012,83184,0,0,1,14.28,1798.0,138.03,5.0,622000.0
1827,9,2013,87284,1,0,1,15.1,2179.0,140.0,7.0,780000.0
1828,10,2016,7000,1,1,1,20.68,1995.0,190.0,5.0,2775000.0
1829,11,2015,29000,1,0,2,22.54,1396.0,88.73,5.0,700000.0
1830,4,2017,33552,1,1,1,11.57,2987.0,254.79,5.0,6487000.0
1831,2,2013,64000,1,0,2,17.3,1998.0,163.7,5.0,650000.0
1833,10,2012,70000,0,0,2,19.4,1198.0,86.8,5.0,250000.0
1834,6,2013,166194,1,0,1,19.3,1461.0,84.8,7.0,390000.0
1835,5,2015,58000,0,0,1,16.47,1198.0,73.9,5.0,395000.0
1836,3,2010,77000,0,0,2,20.36,1197.0,78.9,5.0,210000.0
1837,11,2009,73204,1,1,3,18.1,1991.0,147.9,4.0,350000.0
1838,6,2007,70000,0,0,2,19.81,1086.0,68.05,5.0,200000.0
1840,5,2013,90000,1,0,1,25.8,1498.0,98.6,5.0,380000.0
1841,10,2016,17000,0,1,1,15.5,1595.0,122.0,5.0,1725000.0
1842,8,2018,46493,0,0,1,18.9,1197.0,81.86,5.0,553000.0
1843,11,2009,68000,0,0,3,20.36,1197.0,78.9,5.0,195000.0
1844,6,2017,2000,1,0,1,28.4,1248.0,74.0,5.0,819999.9999999999
1845,11,1999,140000,0,0,1,13.0,1343.0,90.0,5.0,90000.0
1847,4,2014,45535,1,1,1,23.8,1998.0,112.0,5.0,1941000.0
1848,4,2016,39228,0,0,1,15.7,1368.0,112.4,5.0,658000.0
1849,10,2011,57000,0,0,2,14.49,1399.0,92.7,5.0,210000.0
1850,3,2008,85445,0,0,2,19.81,1086.0,68.05,5.0,200000.0
1851,5,2015,54000,1,0,1,24.4,1120.0,71.0,5.0,370000.0
1852,10,2014,53000,0,1,1,23.1,998.0,67.04,5.0,380000.0
1853,7,2014,60000,0,0,1,20.36,1197.0,78.9,5.0,325000.0
1854,4,2015,65668,1,0,1,19.87,1461.0,83.8,5.0,553000.0
1855,1,2011,100000,1,1,2,22.69,1995.0,190.0,5.0,1090000.0
1856,9,2018,1800,0,0,1,18.9,1197.0,82.0,5.0,509999.99999999994
1858,11,2009,44200,0,0,2,18.0,995.0,62.0,5.0,160000.0
1859,1,2018,14000,0,0,1,17.4,1497.0,117.3,5.0,1125000.0
1861,5,2012,73000,1,1,1,11.5,2982.0,169.0,7.0,1440000.0
1862,5,2011,68000,0,0,1,17.0,1497.0,118.0,5.0,360000.0
1863,7,2017,19543,1,1,1,18.12,1995.0,190.0,5.0,4050000.0
1864,2,2014,38000,1,1,2,14.16,1968.0,174.3,5.0,3895000.0000000005
1865,5,2014,32805,1,0,1,23.2,1248.0,73.94,5.0,360000.0
1866,8,2016,44782,1,1,1,21.21,1498.0,103.2,5.0,712000.0
1867,8,2016,55700,1,0,1,26.0,1498.0,98.6,5.0,752000.0
1868,5,2012,60000,1,1,2,15.2,1968.0,140.8,5.0,1035000.0
1869,6,2014,56000,0,0,1,15.0,1598.0,103.52,5.0,700000.0
1870,5,2011,60000,1,0,1,11.5,2982.0,171.0,7.0,1085000.0
1872,10,2014,34669,0,0,1,15.1,1196.0,73.0,7.0,290000.0
1873,5,2017,17000,0,0,1,20.73,1373.0,91.1,5.0,765000.0
1874,5,2016,66000,1,0,1,28.09,1248.0,88.5,5.0,640000.0
1875,11,2014,102418,1,0,1,12.99,2494.0,100.6,7.0,1010000.0
1876,9,2014,48800,0,0,1,19.1,1197.0,85.8,5.0,425000.0
1877,8,2019,10601,1,1,1,11.36,2755.0,171.5,7.0,1964999.9999999998
1878,11,2017,8200,1,0,1,25.0,1396.0,69.0,5.0,440000.00000000006
1879,7,2012,100000,0,0,1,18.5,1197.0,82.85,5.0,325000.0
1880,11,2012,78000,1,0,1,17.8,1399.0,68.0,5.0,280000.0
1881,9,2015,50000,1,0,1,18.2,1248.0,73.74,8.0,430000.0
1882,3,2006,89327,1,0,3,17.8,1399.0,68.0,5.0,155000.0
1883,3,2007,98000,0,0,2,10.8,2354.0,152.0,5.0,470000.0
1884,8,2017,24700,0,0,1,18.7,1199.0,88.7,5.0,707000.0
1885,5,2018,6000,1,1,1,11.0,2987.0,258.0,7.0,7900000.0
1886,5,2018,9434,0,0,1,18.9,1197.0,81.86,5.0,575000.0
1887,10,2012,29000,0,0,1,18.5,1197.0,85.8,5.0,325000.0
1888,4,2017,22440,1,1,1,22.0,1498.0,108.495,5.0,889000.0
1889,10,2015,73070,0,0,1,17.4,1497.0,117.3,5.0,590000.0
1890,9,2016,21771,0,0,1,18.7,1199.0,88.7,5.0,495000.0
1891,5,2014,62000,1,0,1,17.8,1248.0,75.0,5.0,375000.0
1892,8,2017,37024,1,1,1,17.01,1582.0,126.2,5.0,1097000.0
1893,8,2014,60336,1,1,2,14.4,2967.0,241.4,5.0,2494000.0
1894,9,2014,26008,0,0,1,21.1,814.0,55.2,5.0,197000.0
1896,4,2018,35569,0,0,1,17.0,1198.0,73.75,5.0,727000.0
1897,9,2013,40000,1,0,1,21.64,1461.0,84.8,5.0,400000.0
1898,9,2015,45000,0,0,1,18.7,1199.0,88.7,5.0,475000.0
1899,5,2015,42000,0,0,1,17.0,1197.0,80.0,5.0,509999.99999999994
1900,4,2012,46913,1,1,1,14.94,2967.0,241.4,5.0,1611000.0
1901,5,2014,62000,1,1,1,11.18,2696.0,184.0,7.0,1055000.0
1902,1,2017,15000,1,1,1,12.9,2755.0,174.5,7.0,3000000.0
1903,9,2002,69000,1,0,1,18.7,1896.0,66.0,5.0,160000.0
1904,6,2012,41367,1,1,1,15.8,2148.0,170.0,5.0,1848999.9999999998
1905,8,2018,15982,0,0,1,20.73,1373.0,91.1,5.0,996000.0000000001
1906,6,2013,99595,1,0,2,22.9,1248.0,74.0,5.0,475000.0
1908,5,2012,49000,1,1,2,16.73,2495.0,218.0,5.0,1550000.0
1909,8,2013,48272,1,0,1,10.5,2835.0,116.9,6.0,1182000.0
1910,5,2008,63000,0,0,1,13.4,1794.0,125.0,5.0,204999.99999999997
1912,10,2013,11734,0,0,1,16.8,796.0,34.2,8.0,225000.0
1913,8,2014,62012,1,1,1,17.68,1968.0,174.33,5.0,2012000.0
1915,4,2016,45449,1,0,1,27.3,1498.0,98.6,5.0,748000.0
1916,10,2004,85000,0,1,2,10.5,1796.0,157.7,5.0,550000.0
1918,8,2013,45330,1,1,1,16.55,1968.0,147.51,5.0,1319000.0
1919,10,2012,88000,0,0,1,19.1,1197.0,85.8,5.0,385000.0
1920,5,2016,45376,1,0,1,28.4,1248.0,73.75,5.0,575000.0
1921,11,2014,81000,1,0,1,15.1,2179.0,140.0,7.0,900000.0
1922,8,2012,83381,0,0,1,18.6,1199.0,79.4,5.0,221000.0
1924,4,2017,27313,1,1,1,14.69,2993.0,258.0,5.0,4863000.0
1925,4,2015,42747,1,1,2,14.16,1968.0,174.3,5.0,3947000.0
1926,4,2015,42265,1,1,2,20.68,1995.0,190.0,5.0,2224000.0
1927,10,2009,21000,0,1,1,19.2,1197.0,80.0,5.0,260000.0
1928,1,2016,55100,1,1,1,17.01,1582.0,126.2,5.0,1200000.0
1929,3,2014,70000,1,1,1,17.11,1968.0,174.33,5.0,1800000.0
1930,10,2007,55000,0,1,3,10.13,3498.0,364.9,5.0,999000.0
1931,9,2012,58235,0,0,1,20.36,1197.0,78.9,5.0,245000.00000000003
1932,10,2017,26000,1,0,1,23.0,1498.0,98.96,5.0,899000.0
1933,9,2011,35000,1,0,1,20.54,1598.0,103.6,5.0,315000.0
1934,7,2017,24000,1,0,1,28.4,1248.0,73.75,5.0,819999.9999999999
1935,1,2016,98000,1,0,1,15.4,1997.0,120.0,7.0,1150000.0
1936,4,2016,44487,1,0,1,22.54,1396.0,88.73,5.0,730000.0
1937,3,2008,65000,0,0,1,19.7,796.0,46.3,5.0,159000.0
1938,5,2015,34951,0,0,2,20.36,1197.0,78.9,5.0,315000.0
1939,9,2015,52373,1,0,2,15.4,2179.0,120.0,7.0,850000.0
1940,6,2010,66285,1,0,1,19.5,1199.0,75.0,5.0,300000.0
1941,10,2012,66000,1,1,1,15.3,2993.0,258.0,5.0,2100000.0
1942,6,2016,43000,1,0,1,27.3,1498.0,98.6,5.0,775000.0
1944,10,2016,41000,1,1,1,16.0,2179.0,140.0,7.0,1375000.0
1945,8,2017,39430,0,1,1,18.0,1497.0,117.3,5.0,828999.9999999999
1946,4,2014,83274,1,0,1,22.9,1248.0,74.0,5.0,579000.0
1947,4,2017,32324,1,1,1,14.84,2143.0,170.0,5.0,3050000.0
1948,10,2011,49999,0,0,1,17.0,1497.0,118.0,5.0,380000.0
1949,2,2014,66000,1,0,1,15.3,2956.0,83.8,7.0,445000.0
1950,5,2012,54000,0,0,1,18.5,1197.0,82.85,5.0,330000.0
1951,7,2009,80000,1,0,2,20.4,1248.0,91.2,5.0,175000.0
1952,2,2011,72000,0,1,2,12.9,1799.0,130.0,5.0,550000.0
1953,11,2017,44865,1,0,1,19.67,1582.0,126.2,5.0,1335000.0
1954,5,2017,22000,1,1,2,20.38,1968.0,143.0,5.0,2250000.0
1955,5,2013,57478,0,0,2,17.0,1591.0,121.3,5.0,525000.0
1956,6,2011,75000,1,0,1,21.9,1396.0,90.0,5.0,375000.0
1957,8,2015,50624,1,0,1,24.2,1498.0,98.6,7.0,632000.0
1958,2,2018,75000,1,1,1,22.32,1582.0,126.32,5.0,775000.0
1959,3,2006,87000,0,0,2,15.3,1596.0,101.0,5.0,137000.0
1960,10,2010,62000,0,0,1,20.36,1197.0,78.9,5.0,210000.0
1961,6,2016,41372,1,0,1,24.3,1248.0,88.5,5.0,930000.0000000001
1962,1,2015,70000,1,0,1,12.99,2494.0,100.6,7.0,1200000.0
1963,11,2017,35000,1,1,1,17.9,2143.0,136.0,5.0,2350000.0
1964,6,2006,71993,0,0,1,19.7,796.0,46.3,5.0,180000.0
1965,3,2013,62000,1,1,2,14.84,2143.0,170.0,5.0,1250000.0
1966,5,2015,51000,1,0,1,22.9,1248.0,74.0,5.0,474000.0
1967,8,2016,26038,0,0,1,18.9,1197.0,82.0,5.0,543000.0
1968,8,2018,37713,1,1,2,12.55,2982.0,168.5,7.0,3162000.0
1969,9,2011,78088,0,0,1,12.4,1998.0,132.0,8.0,630000.0
1970,8,2017,30453,1,0,1,22.77,1498.0,98.59,5.0,844999.9999999999
1971,11,2016,54000,0,0,1,18.16,1196.0,86.8,5.0,500000.0
1972,3,2011,190000,1,0,1,11.5,2982.0,171.0,7.0,1300000.0
1973,6,2012,65097,0,0,1,19.1,1197.0,85.8,5.0,470000.0
1976,7,2009,111000,0,0,2,18.9,1061.0,67.0,5.0,151000.0
1977,8,2013,63295,1,0,1,19.01,1461.0,108.45,5.0,609000.0
1978,10,2015,35770,0,0,1,20.73,1373.0,91.1,5.0,595000.0
1979,6,2012,125928,1,0,1,22.7,1582.0,126.24,5.0,900000.0
1980,9,2015,45000,1,1,1,21.66,1498.0,103.52,5.0,425000.0
1981,6,2013,21000,1,1,1,14.84,2143.0,170.0,5.0,2350000.0
1982,10,2011,54774,0,1,1,11.7,2354.0,177.6,5.0,635000.0
1983,3,2014,41123,0,0,1,23.1,998.0,67.04,5.0,340000.0
1985,3,2014,48000,1,1,1,22.69,1995.0,190.0,5.0,2160000.0
1986,3,2011,173000,1,0,1,20.54,1598.0,103.6,5.0,400000.0
1987,11,2018,12000,1,0,1,23.4,1248.0,74.0,5.0,550000.0
1988,10,2012,34000,1,1,1,12.39,2179.0,147.51,5.0,1925000.0
1989,6,2012,71360,1,0,1,21.9,1396.0,90.0,5.0,395000.0
1990,10,2012,74000,1,0,2,28.4,1248.0,73.75,5.0,425000.0
1991,8,2018,28937,1,0,1,17.1,1956.0,170.0,5.0,1702000.0
1992,6,2012,82085,1,0,1,20.77,1248.0,88.76,7.0,650000.0
1993,2,2011,68465,0,0,1,15.6,1196.0,70.0,5.0,295000.0
1994,4,2013,63854,1,0,1,21.43,1364.0,86.79,5.0,712000.0
1995,3,2018,3000,1,1,1,24.3,1248.0,88.5,5.0,1125000.0
1996,5,2009,65055,0,0,1,17.0,1497.0,118.0,5.0,275000.0
1997,6,2015,120000,1,0,1,15.4,2179.0,120.0,7.0,1200000.0
1998,10,2014,64241,0,0,1,20.14,1197.0,81.86,5.0,367000.0
2000,11,2008,2200,0,0,1,15.7,1390.0,75.0,5.0,229999.99999999997
2001,11,2008,88123,1,0,1,18.7,1896.0,66.0,5.0,220000.00000000003
2002,11,2014,79000,1,1,1,12.0,2987.0,224.0,7.0,4100000.0
2003,2,2016,28143,1,1,1,20.68,1995.0,190.0,5.0,2850000.0
2004,10,2015,23001,0,0,1,15.04,1598.0,103.2,5.0,549000.0
2005,1,2013,82002,1,1,2,16.55,1968.0,147.51,5.0,1750000.0
2006,2,2009,75000,1,0,1,13.8,1399.0,68.0,5.0,199000.0
2007,8,2016,37451,1,0,1,22.32,1582.0,126.3,5.0,664000.0
2008,6,2017,67000,1,0,1,13.68,2393.0,147.8,7.0,1650000.0
2009,11,2016,25000,0,0,1,18.9,1197.0,82.0,5.0,500000.0
2010,10,2017,12000,0,0,1,17.0,1198.0,73.75,5.0,540000.0
2011,9,2017,25000,0,0,1,25.17,799.0,53.3,5.0,299000.0
2012,7,2011,95936,0,0,1,17.0,1497.0,118.0,5.0,409999.99999999994
2013,8,2018,5354,0,1,1,18.9,1197.0,81.86,5.0,676000.0
2014,3,2016,42000,0,0,2,18.78,999.0,75.0,5.0,550000.0
2015,4,2014,44282,1,0,1,25.2,1248.0,74.0,5.0,599000.0
2016,5,2012,70000,1,0,1,21.64,1461.0,84.8,5.0,259000.0
2017,10,2013,31400,1,1,1,16.36,2179.0,187.7,5.0,2675000.0
2018,11,2016,50000,1,0,1,28.09,1248.0,88.5,5.0,850000.0
2019,2,2011,53000,1,1,1,12.8,1968.0,167.6,5.0,2300000.0
2020,11,2014,21727,0,0,1,15.6,1196.0,70.02,5.0,335000.0
2021,2,2012,43000,1,1,2,11.72,2199.0,194.3,7.0,1075000.0
2022,9,2013,75000,1,0,1,12.05,2179.0,120.0,8.0,629000.0
2023,2,2014,73557,1,0,1,19.6,1461.0,108.45,5.0,775000.0
2024,5,2012,44555,1,1,1,15.2,1968.0,140.8,5.0,1350000.0
2025,4,2013,54885,0,0,1,15.1,1196.0,73.0,7.0,375000.0
2026,10,2011,76000,1,0,2,14.0,2498.0,112.0,7.0,375000.0
2027,7,2006,101000,0,0,2,18.9,998.0,67.1,5.0,150000.0
2028,3,2005,66000,0,0,1,14.0,1061.0,64.0,5.0,145000.0
2029,4,2013,84360,0,0,1,15.5,1586.0,103.3,5.0,412000.0
2030,10,2016,25121,1,0,1,13.68,2393.0,147.8,7.0,1711000.0
2031,11,2015,100000,1,0,2,12.99,2494.0,100.6,7.0,1025000.0
2032,9,2011,66035,1,0,1,22.07,1199.0,73.9,5.0,249000.00000000003
2033,11,2015,190000,0,0,2,16.78,1496.0,88.73,5.0,385000.0
2034,6,2014,85670,1,0,1,22.7,1498.0,89.84,5.0,625000.0
2035,6,2015,35000,1,0,1,24.0,1120.0,70.0,5.0,488000.0
2036,10,2016,8000,0,1,1,18.0,1497.0,117.3,5.0,944999.9999999999
2037,6,2007,162000,1,0,2,12.8,2494.0,102.0,8.0,480000.0
2038,9,2012,60000,0,0,1,21.1,814.0,55.2,5.0,199000.0
2039,6,2010,70600,0,0,1,20.36,1197.0,78.9,5.0,280000.0
2040,2,2011,25000,0,1,2,12.3,1796.0,185.0,5.0,2200000.0
2041,6,2012,75000,1,0,1,15.96,2523.0,62.1,7.0,430000.0
2043,1,2015,40000,0,0,1,20.4,1197.0,81.8,5.0,590000.0
2044,5,2013,67000,1,1,1,16.55,1968.0,147.51,5.0,1450000.0
2045,6,2009,55000,1,0,2,17.8,1399.0,68.0,5.0,240000.0
2046,10,2008,62000,0,0,2,15.0,1586.0,104.68,5.0,211000.0
2047,4,2017,22526,0,1,1,18.9,1197.0,82.0,5.0,760000.0
2048,6,2012,57788,0,1,1,17.16,1197.0,85.8,5.0,360000.0
2049,7,2013,72000,1,0,1,10.5,2179.0,120.0,8.0,600000.0
2050,10,2014,83128,1,0,1,15.4,2179.0,120.0,7.0,745000.0
2051,3,2011,75000,0,0,1,19.7,796.0,46.3,5.0,210000.0
2052,1,2013,58000,1,0,2,19.01,1461.0,108.45,5.0,520000.0
2055,8,2015,59751,1,0,1,12.99,2494.0,100.6,7.0,1162000.0
2056,8,2015,29966,1,1,2,16.77,2993.0,261.49,5.0,4360000.0
2057,9,2009,65000,1,0,2,13.6,1991.0,142.0,5.0,490000.00000000006
2058,8,2015,75863,1,0,1,19.01,1461.0,108.45,5.0,670000.0
2060,2,2014,24000,1,1,1,17.11,1968.0,174.33,5.0,2500000.0
2061,4,2018,33218,1,0,1,17.1,1956.0,170.0,5.0,1905000.0
2062,9,2015,33425,0,0,1,17.43,1396.0,105.5,5.0,450000.0
2063,11,2013,47000,0,0,1,18.0,1198.0,86.7,5.0,415000.00000000006
2064,3,2015,41000,1,0,1,19.67,1582.0,126.2,5.0,1190000.0
2065,5,2011,62000,0,0,1,19.81,1086.0,68.05,5.0,210000.0
2066,5,2016,47035,1,0,1,18.49,1493.0,100.0,7.0,695000.0
2067,11,2008,56230,0,0,2,17.5,1298.0,85.8,5.0,240000.0
2068,3,2007,55000,0,0,1,13.2,1495.0,94.0,5.0,265000.0
2069,7,2014,70669,1,0,1,15.1,2179.0,140.0,7.0,900000.0
2070,11,2012,69000,0,0,1,20.92,998.0,67.1,5.0,210000.0
2071,11,2011,65000,0,0,2,18.6,1199.0,79.4,5.0,250000.0
2072,10,2009,30000,1,1,1,12.4,2698.0,179.5,5.0,894999.9999999999
2073,6,2017,2000,1,1,1,20.7,1496.0,113.98,5.0,3400000.0
2075,3,2015,40000,0,0,1,17.57,1193.0,88.7,5.0,400000.0
2076,9,2014,40000,1,0,1,26.0,1498.0,98.6,5.0,445000.0
2077,7,2010,26000,0,0,1,18.6,1199.0,79.4,5.0,150000.0
2078,7,2011,105000,1,1,2,16.55,1968.0,140.0,5.0,1450000.0
2079,9,2015,2800,1,0,1,26.1,1498.0,99.0,5.0,841000.0
2080,10,2014,71000,1,1,2,19.08,1582.0,126.32,5.0,545000.0
2081,10,2015,32896,0,1,1,18.0,1497.0,117.3,5.0,890000.0
2082,6,2012,45000,0,0,1,20.36,1197.0,78.9,5.0,365000.0
2083,2,2015,65000,1,1,2,18.56,1995.0,190.0,5.0,2900000.0
2084,10,2013,45200,1,1,1,16.55,1968.0,147.51,5.0,1350000.0
2085,6,2008,82167,0,1,1,10.1,2354.0,152.0,5.0,540000.0
2086,4,2016,37429,0,0,1,18.9,1197.0,81.86,5.0,589000.0
2087,6,2016,46000,1,0,1,28.09,1248.0,88.5,5.0,844999.9999999999
2088,5,2011,67031,0,0,1,17.4,1497.0,117.3,5.0,400000.0
2089,10,2013,30000,1,1,1,9.52,2993.0,313.0,4.0,4500000.0
2090,10,2016,47691,0,1,1,23.1,998.0,67.04,5.0,394000.0
2091,7,2011,32531,1,1,2,13.73,1995.0,148.0,5.0,800000.0
2093,3,2006,196000,1,0,1,12.8,2494.0,102.0,7.0,625000.0
2094,9,2015,28193,1,0,1,28.4,1248.0,73.75,5.0,525000.0
2095,4,2019,2526,0,1,1,19.0,2996.0,362.07,2.0,8396000.0
2097,6,2013,85000,1,1,1,16.1,1950.0,194.0,5.0,2100000.0
2098,1,2015,20780,0,0,1,18.9,1197.0,81.86,5.0,430000.0
2099,10,2014,43081,0,0,1,17.3,1497.0,117.3,7.0,525000.0
2100,10,2010,35000,0,1,2,11.9,4806.0,550.0,5.0,3200000.0
2102,10,2007,67000,0,0,3,13.4,1794.0,125.0,5.0,220000.00000000003
2104,4,2010,77849,0,1,2,10.9,2497.0,215.0,5.0,1127000.0
